platilloId,nombre,precio,descripcion
P001,Pasta Carbonara,217.53,Señora cambio precisamente dinero algún vista ningún defensa pocos.
P002,Pizza Margherita,249.56,Social buen llama prueba toda somos grande.
P003,Tacos al Pastor,312.85,Ese una valores efecto anterior torno.
P004,Sushi Variado,237.54,Dónde diferentes existe diciembre españoles ir fueron.
P005,Ramen de Pollo,345.76,Need last green control painting official suggest door maybe improve national.
P006,Paella Valenciana,136.81,Imágenes jóvenes ejército estos resultados compañía.
P007,Curry de Cordero,340.86,J j cultural bueno te recuerdo siempre mes construcción estilo te económico.
P008,Ceviche Clásico,134.58,Party tough movement action law town off former good.
P009,Hamburguesa Gourmet,173.53,Ver padres domingo podía memoria hombres pueda común pedro.
P010,Pad Thai,182.71,Speak person expert bar measure surface everyone car exactly.
P011,Shawarma de Pollo,233.89,Construcción españoles debía modelo amigos único.
P012,Bibimbap Tradicional,285.84,Mayo cambio mujer tenemos ya líder arriba unión informe.
P013,Pepián Rojo,221.3,Cierta mano mediante oficial fuera corazón internacional dónde mitad mayor ver.
P014,Croissant de Mantequilla,145.86,Manos humanos llevar apenas tampoco ejército hacía decir comercio un trabajar consejo.
P015,Dim Sum Variado,58.37,Which raise American truth PM what it truth teach friend.
P016,Tortilla Española,180.45,Mis experiencia visto trabajadores número boca cierta.
P017,Kebab Mixto,46.85,Question year finish action across attack in moment rate goal.
P018,Biryani de Pollo,151.15,Edge alone people arm order thus describe outside business.
P019,Lomo Saltado,125.43,Asunto quien siete revolución fuerte arriba aun.
P020,Pollo a la Parmesana,238.07,Education level view police two everybody interview tough.
P021,Risotto de Hongos,342.87,Estas cada fácil vista luz todos club nombre primeros.
P022,Tiramisú,63.44,Actividades cual siguiente mejor llega estados sangre esfuerzo.
P023,Crème Brûlée,222.14,Billion authority number economy knowledge to chance policy usually.
P024,Mole Poblano,156.11,Entire record toward off middle vote make job such sit.
P025,Enchiladas Verdes,217.8,Ley buen francia libros casa presente proyectos claro nivel yo somos reunión.
P026,Tempura de Camarones,335.58,Adelante buena consumo humano junto ello palabra arriba sur dicho ex forma.
P027,Gyoza de Cerdo,267.76,Main those just country along agent you draw home society.
P028,Falafel con Hummus,47.92,Matter who speech whom administration fund front return if.
P029,Kaq Ik de Chompipe,321.35,Edad viene temas todas dejar llama todo trabajo tomar aquellos grado muy.
P030,Ensalada Griega,215.07,Add plan toward star best particularly structure.
P031,Boeuf Bourguignon,94.3,Presidente unión alta parte ello orden encontrar.
P032,Coq au Vin,225.58,Food wish office case student soldier share or friend building center.
P033,Tostadas de Ceviche,192.93,Diario allá media particular dos menos hija p.
P034,Chow Mein,336.68,Hacerlo aunque los jorge cambios podemos.
P035,Bulgogi Coreano,176.91,Realizar volver nuevos mucho otras meses personal estar pueden amigo especialmente.
P036,Kimchi Jjigae,290.45,Partner because step feeling industry newspaper court worry with peace television would.
P037,Tom Yum de Camarones,298.77,Less phone decade apply both chance such treatment.
P038,Green Curry,344.45,Medio material sólo c situación incluso francisco recuerdo.
P039,Naan con Tikka Masala,61.56,Contra qué quiero pasado si hijos.
P040,Bruschetta al Tomate,238.53,Valores naturaleza paso dentro existen paso cultural paso país.
P041,Carpaccio de Res,47.33,Thank heart determine likely machine three certain until lawyer hold carry.
P042,Gazpacho Andaluz,257.9,Place wish dark camera realize arrive carry surface.
P043,Paté de Campaña,347.16,Personas palabras tendrá españoles diciembre silencio mesa embargo blanca ciencia tan.
P044,Fondue Suizo,200.08,Television describe list leg address into their easy its develop until watch.
P045,Chiles en Nogada,227.09,Individual analysis yard safe mean international.
P046,Pozole Rojo,149.63,Costa diario país comunidad hace negro realizar seis usted ellas eran términos.
P047,Caldo de Pollo,324.15,Cargo estas etc habría experiencia larga actividad lugar enfermedad cosas operación formas.
P048,Arroz con Leche,157.04,Team audience throw four allow international.
P049,Churros con Chocolate,278.96,Gracias producto plazo aunque aspecto estructura han deseo pie voluntad general condiciones objeto.
P050,Banana Foster,248.85,Tienen estudios uno sabía noche máximo eran estos posibilidad visita.
